English_Name,Oruko(Yoruba_Name),English_Symptoms,Awọn aami aisan(Symptoms)
Human Herpesvirus 8 (HHV-8),Herpesvirus eniyan 8 (HHV-8),"Skin lesions, fever, night sweats, weight loss, swollen lymph nodes","Awọn egbo awọ ara, iba, lagun alẹ, pipadanu iwuwo, awọn ọmu ti o wú"
"Coxsackievirus (Hand, Foot, Mouth)","Coxsackievirus (Ọwọ, Ẹsẹ, Ẹnu)","Fever, sore throat, painful blisters on hands/feet/mouth","Iba, ọfun ọfun, roro irora lori ọwọ/ẹsẹ/ẹnu"
Echovirus,Echovirus,"Fever, rash, headache, sore throat, gastrointestinal symptoms","Iba, oru sisu, orififo, ọfun ọfun, awọn aami aisan inu ikun"
Herpangina,Herpangina,"Sudden fever, sore throat, headache, painful blisters on tonsils and roof of mouth","Iba lojiji, ọfun ọfun, orififo, roro irora lori tonsils ati oke ẹnu"
Parechovirus,Parechovirus,"Fever, rash, respiratory symptoms, gastrointestinal symptoms","Iba, oru sisu, awọn ami atẹgun, awọn aami aisan inu ikun"
California Encephalitis Virus,fáírọ́ọ̀sì California Encephalitis,"Fever, headache, nausea, vomiting, confusion, seizures","Iba, orififo, ríru, eebi, iporuru, ijagba"
Heartland Virus,fáírọ́ọ̀sì Heartland,"Fever, fatigue, decreased appetite, headache, nausea","Iba, rirẹ, ifẹkufẹ dinku, orififo, ríru"
Severe Fever with Thrombocytopenia,Iba nla pẹlu Thrombocytopenia,"Fever, fatigue, gastrointestinal symptoms, bleeding tendencies","Iba, rirẹ, awọn aami aisan inu ikun, awọn ifarahan ẹjẹ"
Borna Disease Virus,fáírọ́ọ̀sì Borna,"Fever, headache, mood changes, memory disturbances, muscle stiffness","Iba, orififo, iyipada iṣesi, awọn idamu iranti, lile iṣan"
Sindbis Virus,fáírọ́ọ̀sì Sindbis,"Fever, rash, joint pain, headache, fatigue","Iba, oru sisu, irora apapọ, orififo, rirẹ"
Ross River Virus,fáírọ́ọ̀sì Ross River,"Fever, rash, joint pain, fatigue","Iba, oru sisu, irora apapọ, rirẹ"
Barmah Forest Virus,fáírọ́ọ̀sì Barmah Forest,"Fever, rash, joint pain, fatigue","Iba, oru sisu, irora apapọ, rirẹ"
Toscana Virus,fáírọ́ọ̀sì Toscana,"Fever, headache, muscle pain, neurological symptoms (meningitis, encephalitis)","Iba, orififo, irora iṣan, awọn aami aiṣan ti iṣan (meningitis, encephalitis)"
Seoul Virus,fáírọ́ọ̀sì Seoul,"Fever, headache, abdominal pain, kidney dysfunction","Iba, orififo, irora inu, ailagbara kidinrin"
Puumala Virus,fáírọ́ọ̀sì Puumala,"Fever, headache, abdominal pain, kidney dysfunction","Iba, orififo, irora inu, ailagbara kidinrin"
Whitewater Arroyo Virus,fáírọ́ọ̀sì Whitewater Arroyo,"Fever, muscle pain, dizziness, fatigue, bleeding tendencies","Iba, irora iṣan, ki oyi ma koni, rirẹ, awọn ifarahan ẹjẹ"
Alkhurma Hemorrhagic Fever Virus,fáírọ́ọ̀sì Alkhurma Hemorrhagic,"Fever, headache, muscle pain, vomiting, bleeding tendencies","Iba, orififo, irora iṣan, eebi, awọn ifarahan ẹjẹ"
Lujo Virus,fáírọ́ọ̀sì Lujo,"Fever, headache, muscle pain, vomiting, bleeding tendencies","Iba, orififo, irora iṣan, eebi, awọn ifarahan ẹjẹ"
Sabia Virus,fáírọ́ọ̀sì Sabia,"Fever, headache, muscle pain, vomiting, bleeding tendencies","Iba, orififo, irora iṣan, eebi, awọn ifarahan ẹjẹ"
Omsk Hemorrhagic Fever Virus,fáírọ́ọ̀sì Omsk Hemorrhagic,"Fever, headache, muscle pain, vomiting, bleeding tendencies","Iba, orififo, irora iṣan, eebi, awọn ifarahan ẹjẹ"
Bunyamwera Virus,fáírọ́ọ̀sì Bunyamwera,"Fever, headache, muscle pain, nausea, vomiting","Iba, orififo, irora iṣan, eebi, awọn ifarahan ẹjẹ"
Ngari Virus,fáírọ́ọ̀sì Ngari,"Fever, headache, muscle pain, nausea, vomiting","Iba, orififo, irora iṣan, eebi, awọn ifarahan ẹjẹ"
Guanarito Virus,fáírọ́ọ̀sì Guanarito,"Fever, headache, muscle pain, vomiting, bleeding tendencies","Iba, orififo, irora iṣan, eebi, awọn ifarahan ẹjẹ"
Chapare Virus,fáírọ́ọ̀sì Chapare,"Fever, headache, muscle pain, vomiting, bleeding tendencies","Iba, orififo, irora iṣan, eebi, awọn ifarahan ẹjẹ"
Bundibugyo Virus,fáírọ́ọ̀sì Bundibugyo,"Fever, headache, muscle pain, vomiting, bleeding tendencies","Iba, orififo, irora iṣan, eebi, awọn ifarahan ẹjẹ"
Huaiyangshan Banyangvirus,Huaiyangshan Banyangvirus,"Fever, fatigue, gastrointestinal symptoms, thrombocytopenia","Iba, rirẹ, awọn aami aisan inu ikun, thrombocytopenia"
Encephalomyocarditis Virus,fáírọ́ọ̀sì Encephalomyocarditis,"Fever, headache, muscle pain, gastrointestinal symptoms, myocarditis","Iba, orififo, irora iṣan, awọn aami aisan inu ikun, myocarditis"
Simian Foamy Virus,fáírọ́ọ̀sì Simian Foamy,"Fever, fatigue, lymphadenopathy, oral ulcers","Iba, rirẹ, lymphadenopathy, ọgbẹ ẹnu"
Banna Virus,fáírọ́ọ̀sì Banna,"Fever, headache, muscle pain, rash","Iba, orififo, irora iṣan, oru oru sisu"
Berne Virus,fáírọ́ọ̀sì Berne,"Fever, headache, muscle pain, rash","Iba, orififo, irora iṣan, oru oru sisu"
Borna Virus,fáírọ́ọ̀sì Bornavirus,"Fever, headache, mood changes, memory disturbances, muscle stiffness","Iba, orififo, iyipada iṣesi, idamu iranti, lile iṣan"
Duvenhage Virus,fáírọ́ọ̀sì Duvenhage,"Fever, headache, muscle pain, confusion, paralysis, hydrophobia","Fever, headache, muscle pain, confusion, rolapa rolese, eru omi"
Menangle Virus,fáírọ́ọ̀sì Menangle,"Fever, headache, muscle pain, rash","Iba, orififo, irora iṣan, Oru oru sisu"
Common Cold,Tutu ti o wọpọ,"Runny or stuffy nose, sneezing, sore throat, mild cough","Imu ti o nṣan tabi ti odi, sisi, ọfun ọfun, Ikọaláìdúró ìwọnba"
Influenza (Flu),Aarun ajakalẹ-arun (aisan),"Fever, chills, headache, muscle aches, fatigue, runny or stuffy nose, sore throat, cough, vomiting and diarrhea (more common in children)","Iba, otutu, orififo, irora iṣan, rirẹ, imu tabi imu imu, ọfun ọfun, Ikọaláìdúró, ìgbagbogbo ati gbuuru (diẹ sii ni awọn ọmọde)"
Respiratory Syncytial Virus (RSV),Kokoro amuṣiṣẹpọ ti atẹgun (RSV),"Runny or stuffy nose, cough, congestion, fever, wheezing, difficulty breathing (especially in infants and young children)","Imu ti o nṣan tabi iṣu, Ikọaláìdúró, gbigbẹ, iba, mimi, iṣoro mimi (paapaa ni awọn ọmọde ati awọn ọmọde)"
Gastroenteritis (Stomach Flu),Gastroenteritis (aisan ikun),"Nausea, vomiting, diarrhea, abdominal cramps","Ríru, ìgbagbogbo, gbuuru, inu inu"
Hepatitis A,Hepatitis A,"Fever, fatigue, nausea, vomiting, loss of appetite, abdominal pain, dark urine, jaundice (yellowing of skin and eyes)","Iba, rirẹ, ríru, ìgbagbogbo, isonu ti yanilenu, irora inu, ito dudu, jaundice (awọ awọ ati oju)"
Mononucleosis (Mono),Mononucleosis (Mono),"Fever, fatigue, sore throat, swollen lymph nodes, rash","Iba, rirẹ, ọfun ọfun, wiwu ọgbẹ ọgbẹ, oru sisu"
Chickenpox,Àrùn adìyẹ,"Itchy, blistering rash, fever, fatigue, loss of appetite","Ìyọnu, roro oru sisu, iba, rirẹ, isonu ti yanilenu"
Shingles,Shingles,"Painful rash with blisters, usually on one side of the face or body, fever, fatigue","Irora irora pẹlu awọn roro, nigbagbogbo ni ẹgbẹ kan ti oju tabi ara, iba, rirẹ"
Measles,Arun-arun,"High fever, cough, runny nose, red, watery eyes, red, blotchy rash","Iba giga, Ikọaláìdúró, imu imu, pupa, oju omi, pupa, oru sisu didi"
Mumps,Mumps,"Fever, headache, muscle aches, swollen salivary glands (especially parotid glands near the cheeks)","Iba, orififo, irora iṣan, awọn keekeke salivary wú (paapaa awọn keekeke ti parotid nitosi awọn ẹrẹkẹ)"
Rubella (German Measles),Rubella (German Measles),"Mild fever, headache, runny nose, sore throat, swollen lymph nodes, pink rash that starts on the face and spreads to the body","Mild fever, headache, runny nose, sore throat, swollen lymph nodes, pink rash that starts on the face and spreads to the body"
Human Papillomavirus (HPV),Papillomavirus eniyan (HPV),"Genital warts, cervical cancer, some types of anal cancer","Iba kekere, orififo, imu imu, ọfun ọfun, awọn apa ọgbẹ ti o wú, awọ-awọ Pink ti o bẹrẹ si oju ti o tan si ara."
Human Immunodeficiency Virus (HIV),Kokoro ajẹsara eniyan (HIV),"Flu-like symptoms in early infection, fatigue, weight loss, recurrent infections, later stages can cause AIDS","Awọn aami aisan ti aisan ni ibẹrẹ ikolu, rirẹ, pipadanu iwuwo, awọn akoran ti nwaye, awọn ipele nigbamii le fa AIDS"
Hepatitis B,Hepatitis B,"Fever, fatigue, nausea, vomiting, loss of appetite, abdominal pain, dark urine, jaundice (yellowing of skin and eyes)","Iba, rirẹ, ríru, ìgbagbogbo, isonu ti yanilenu, irora inu, ito dudu, jaundice (awọ awọ ati oju)"
Hepatitis C,Hepatitis C,"Often no symptoms, fatigue, nausea, vomiting, loss of appetite, abdominal pain, dark urine, jaundice (yellowing of skin and eyes) in some cases","Nigbagbogbo ko si awọn ami aisan, rirẹ, ríru, ìgbagbogbo, isonu ti ounjẹ, irora inu, ito dudu, jaundice (awọ awọ ati oju) ni awọn igba miiran."
Cytomegalovirus (CMV),Cytomegalovirus (CMV),"Often no symptoms, fatigue, fever, muscle aches, swollen lymph nodes, in severe cases pneumonia","Nigbagbogbo ko si awọn ami aisan, rirẹ, ibà, irora iṣan, awọn apa ọgbẹ ti o wú, ni awọn ọran ti o nira ti ẹdọfóró"
Epstein-Barr Virus (EBV),Kokoro Epstein-Barr (EBV),"Similar to mono: fever, fatigue, sore throat, swollen lymph nodes","Iru si eyọkan: iba, rirẹ, ọfun ọfun, wiwu ọgbẹ"
West Nile Virus,West Nile fáírọ́ọ̀sì,"Fever, headache, muscle aches, nausea, vomiting, diarrhea, rash, in severe cases meningitis, encephalitis","Iba, orififo, irora iṣan, ríru, ìgbagbogbo, gbuuru, oru sisu, ni awọn iṣẹlẹ ti o buruju meningitis, encephalitis"
Dengue Fever,Ìbà Ìbà,"Fever, severe headache, muscle and joint aches, nausea, vomiting, rash","Iba, orififo nla, isan ati irora apapọ, ríru, ìgbagbogbo, oru sisu"
Zika Virus,Kokoro Zika,"Fever, headache, muscle and joint aches, red eyes, rash","Iba, orififo, iṣan ati irora apapọ, oju pupa, oru sisu"
Chikungunya Fever,Ìbà Chikungunya,"Fever, severe headache, muscle and joint aches, rash, swelling of joints","Iba, orififo nla, iṣan ati irora apapọ, oru sisu, wiwu awọn isẹpo"
Rotavirus,Rotavirus,"common cold symptoms: runny or stuffy nose, sneezing, sore throat, mild cough","awọn aami aiṣan otutu ti o wọpọ: imu imu tabi imu imu, sneezing, ọfun ọfun, Ikọaláìdúró ìwọnba"
Adenovirus,Adenovirus,"Fever, sore throat, cough, runny nose, pink eye (conjunctivitis)","Iba, ọfun ọfun, Ikọaláìdúró, imu imu, oju Pink (conjunctivitis)"
Human Bocavirus,Eniyan Bocavirus,"Runny or stuffy nose, cough, fever, wheezing","Imu ti o nṣan tabi iṣu, Ikọaláìdúró, iba, mimi"
Human Metapneumovirus,Eniyan Metapneumovirus,"Runny or stuffy nose, cough, fever, wheezing","Imu ti o nṣan tabi iṣu, Ikọaláìdúró, iba, mimi"
Parainfluenza Virus,fáírọ́ọ̀sì Parainfluenza,"Runny or stuffy nose, cough, fever, wheezing","Imu ti o nṣan tabi iṣu, Ikọaláìdúró, iba, mimi"
Enterovirus (including polio),Enterovirus (pẹlu roparose),"Fever, headache, muscle aches, fatigue, nausea, vomiting, diarrhea, in severe cases paralysis (polio)","Iba, orififo, irora iṣan, rirẹ, ríru, ìgbagbogbo, igbe gbuuru, ni awọn iṣẹlẹ ti o lewu paralysis (polio)"
Rhinovirus,Rhinovirus,"Common cold symptoms: runny or stuffy nose, sneezing, sore throat, mild cough","Awọn aami aiṣan otutu ti o wọpọ: imu ṣiṣan tabi imu imu, ṣiṣan, ọfun ọfun, Ikọaláìdúró ìwọnba"
Coronavirus (including COVID-19),Coronavirus (pẹlu COVID-19),"Fever, cough, shortness of breath, fatigue, muscle aches, sore throat, loss of taste or smell","Iba, Ikọaláìdúró, èémí kúrú, rirẹ, iṣan iṣan, ọfun ọfun, ipadanu itọwo tabi õrùn"
Hantavirus Pulmonary Syndrome,Hantavirus Pulmonary Syndrome,"Fever, fatigue, muscle aches, shortness of breath, cough","Iba, rirẹ, irora iṣan, kuru ẹmi, Ikọaláìdúró"
Ebola Virus Disease,Arun fáírọ́ọ̀sì Ebola,"Fever, severe headache, muscle aches, weakness, diarrhea, vomiting, bleeding","Iba, orififo nla, irora iṣan, ailera, gbuuru, ìgbagbogbo, ẹjẹ"
Marburg Virus Disease,Arun fáírọ́ọ̀sì Marburg,"Similar to Ebola: fever, severe headache, muscle aches, weakness, diarrhea, vomiting, bleeding","Iru si Ebola: iba, orififo nla, irora iṣan, ailera, gbuuru, ìgbagbogbo, ẹjẹ"
Lassa Fever,Iba Lassa,"Fever, weakness, headache, sore throat, muscle aches, nausea, vomiting, diarrhea, bleeding","Iba, ailera, orififo, ọfun ọfun, irora iṣan, ríru, ìgbagbogbo, gbuuru, ẹjẹ"
Crimean-Congo Hemorrhagic Fever,Ìbà Ẹ̀jẹ̀ ti Crimean-Congo,"Fever, muscle aches, dizziness, headache, nausea, vomiting, diarrhea, bleeding","Iba, irora iṣan, dizziness, orififo, ríru, ìgbagbogbo, gbuuru, ẹjẹ"
Yellow Fever,Ìbà Olóye,"Fever, chills, headache, muscle aches, nausea, vomiting, loss of appetite, bleeding","Iba, otutu, orififo, irora iṣan, ríru, ìgbagbogbo, isonu ti ounjẹ, ẹjẹ"
Rift Valley Fever,Iba Rift Valley,"Fever, weakness, headache, muscle aches, nausea, vomiting, diarrhea, bleeding","Iba, ailera, orififo, irora iṣan, ríru, ìgbagbogbo, gbuuru, ẹjẹ"
Junin Virus Disease (Argentine hemorrhagic fever),Arun Kokoro Junin (ibà ẹ̀jẹ̀ ara Argentina),"Fever, muscle aches, headache, nausea, vomiting, diarrhea, bleeding","Iba, irora iṣan, orififo, ríru, ìgbagbogbo, gbuuru, ẹjẹ"
Machupo Virus Disease (Bolivian hemorrhagic fever),Arun fáírọ́ọ̀sì Machupo (ibà ẹjẹ ẹjẹ Bolivia),"Fever, muscle aches, headache, nausea, vomiting, diarrhea, bleeding","Iba, irora iṣan, orififo, ríru, ìgbagbogbo, gbuuru, ẹjẹ"
Nipah Virus Encephalitis,Nipah Virus Encephalitis,"Fever, headache, muscle aches, nausea, vomiting, dizziness","Iba, orififo, irora iṣan, ríru, ìgbagbogbo, dizziness"
Rabies,,"Fever, headache, excessive salivation, confusion",
Middle East Respiratory Syndrome (MERS),Arun Ẹmi ti Aarin Ila-oorun (MERS),"Fever, cough, shortness of breath, pneumonia","Iba, Ikọaláìdúró, ìmí kúrú, pneumonia"
Avian Influenza (Bird Flu),Aarun ajakalẹ-arun (aarun ẹyẹ),"Fever, cough, sore throat, muscle aches","Iba, Ikọaláìdúró, ọfun ọfun, irora iṣan"
Swine Influenza (Swine Flu),Aarun elede (aarun elede),"Fever, cough, sore throat, body aches, fatigue","Iba, Ikọaláìdúró, ọfun ọfun, irora ara, rirẹ"
MERS-CoV (Middle East Respiratory Syndrome Coronavirus),MERS-CoV (Aarun atẹgun Aarin Ila-oorun Iwọ-oorun),"Fever, cough, shortness of breath, pneumonia","Iba, Ikọaláìdúró, ìmí kúrú, pneumonia"
Human Metapneumovirus Infection,Eniyan Metapneumovirus Ikolu,"Fever, cough, wheezing, difficulty breathing","Iba, Ikọaláìdúró, mimi, iṣoro mimi"
Respiratory Enteric Orphan Virus (REOVirus),Kokoro Alailowaya ti inu atẹgun (REOVyrus),"Gastrointestinal symptoms, respiratory symptoms","Awọn aami aiṣan inu inu, awọn ami atẹgun"
Parvovirus B19 Infection,Parvovirus B19 Ikolu,"Rash on cheeks, arms, and legs, low-grade fever","oru sisu lori awọn ẹrẹkẹ, awọn ọwọ, ati awọn ẹsẹ, iba-kekere"
Molluscum Contagiosum,Molluscum Contagiosum,Flesh-colored bumps on the skin,Awọn bumps awọ ara lori awọ ara
Viral Hemorrhagic Fevers,Iba Ẹjẹ Agbogun,"Fever, fatigue, muscle aches, bleeding","Iba, rirẹ, irora iṣan, ẹjẹ"
Human T-lymphotropic Virus (HTLV),Kokoro T-lymphotropic eniyan (HTLV),"Weakness, fatigue, muscle pain, rash","Ailagbara, rirẹ, irora iṣan, oru sisu"
Astrovirus Infection,Ikolu Astrovirus,"Diarrhea, nausea, vomiting","Ìgbẹ́, ìríra, ìgbagbogbo"
Respiratory Syncytial Virus (RSV) Bronchiolitis,Kokoro amuṣiṣẹpọ ti atẹgun (RSV) Bronchiolitis,"Cough, wheezing, difficulty breathing","Ikọaláìdúró, mimi, iṣoro mimi"
Kawasaki Disease (possibly triggered by viral infection),Arun Kawasaki (o ṣee ṣe nipasẹ akoran ọlọjẹ),"Fever, rash, swollen lymph nodes, red eyes","Iba, oru sisu, wiwu ọra-ara, oju pupa"
Progressive Multifocal Leukoencephalopathy (PML),Leukoencephalopathy Multifocal Onitẹsiwaju (PML),"Weakness, vision problems, cognitive changes","Weakness, vision problems, cognitive changes"
Viral Pneumonia,Gbogun ti Pneumonia,"Fever, cough, difficulty breathing","Iba, Ikọaláìdúró, iṣoro mimi"
Infectious Mononucleosis (Mono),Mononucleosis àkóràn (Mono),"Fatigue, sore throat, swollen lymph nodes","Irẹwẹsi, ọfun ọfun, awọn ọmu ti o wú"
Lymphocytic Choriomeningitis,Lymphocytic Choriomeningitis,"Fever, headache, muscle aches, lack of appetite","Iba, orififo, irora iṣan, aini igbadun"
Warts (caused by HPV),Warts (ti o fa nipasẹ HPV),Flesh-colored growths on skin or mucous membranes,Awọn idagba awọ ara lori awọ ara tabi awọn membran mucous
Viral Meningitis,Gbogun ti Meningitis,"Fever, headache, stiff neck, sensitivity to light","Iba, orififo, ọrùn lile, ifamọ si ina"
Viral Encephalitis,Gbogun ti Encephalitis,"Fever, headache, confusion, seizures","Iba, orififo, iporuru, ijagba"
Avian Infectious Bronchitis Virus,Avian Àkóràn Bronchitis fáírọ́ọ̀sì,"Respiratory symptoms, decreased egg production","Awọn aami aiṣan ti atẹgun, idinku iṣelọpọ ẹyin"
Infectious Canine Hepatitis,Àkóràn Hepatitis Canine,"Fever, vomiting, abdominal pain, jaundice","Iba, ìgbagbogbo, irora inu, jaundice"
Equine Infectious Anemia,Equine Àrùn Ẹjẹ,"Fever, weakness, weight loss, anemia","Iba, ailera, pipadanu iwuwo, ẹjẹ"
Feline Leukemia Virus (FeLV),Kokoro Lukimia Feline (FeLV),"Weakness, weight loss, anemia, infections","Ailagbara, pipadanu iwuwo, ẹjẹ, awọn akoran"
Canine Distemper Virus,fáírọ́ọ̀sì Distemper Canine,"Fever, coughing, nasal discharge, neurological symptoms","Iba, Ikọaláìdúró, itujade imu, awọn aami aiṣan ti iṣan"
Bluetongue Virus,fáírọ́ọ̀sì Bluetongue,"Fever, nasal discharge, excessive salivation","Iba, itujade imu, itọ pupọ"
Bovine Viral Diarrhea Virus,fáírọ́ọ̀sì Irun gbuuru Bovine,"Fever, diarrhea, decreased milk production","Iba, gbuuru, iṣelọpọ wara dinku"
Feline Immunodeficiency Virus (FIV),Feline Immunodeficiency Virus (FIV),"Weight loss, fever, infections, lethargy","Pipadanu iwuwo, iba, awọn akoran, aibalẹ"
Infectious Bovine Rhinotracheitis Virus,Àkóràn Bovine Rhinotracheitis fáírọ́ọ̀sì,"Fever, nasal discharge, coughing, conjunctivitis","Iba, itujade imu, Ikọaláìdúró, conjunctivitis"
Feline Infectious Peritonitis,Peritonitis àkóràn Feline,"Fever, weight loss, abdominal fluid accumulation","Iba, pipadanu iwuwo, ikojọpọ omi inu"
Equine Influenza,Equine aarun ayọkẹlẹ,"Fever, coughing, nasal discharge, lethargy","Iba, Ikọaláìdúró, itujade imu, aibalẹ"
Feline Calicivirus,Feline Calicivirus,"Fever, oral ulcers, nasal discharge, lethargy","Iba, egbo ẹnu, itujade imu, ifarabalẹ"
Feline Herpesvirus,Feline Herpesvirus,"Sneezing, nasal discharge, eye ulcers, lethargy","oru sisun, isun imu, adaijina oju, aibalẹ"
Canarypox Virus,Kokoro Canarypox,"Respiratory symptoms, scabby lesions on skin","Awọn aami aiṣan ti atẹgun, awọn ọgbẹ sẹsẹ lori awọ ara"
Eastern Equine Encephalitis Virus,fáírọ́ọ̀sì Equine Encephalitis Ila-oorun,"Fever, headache, vomiting, seizures","Iba, orififo, ìgbagbogbo, ijagba"
Western Equine Encephalitis Virus,Western Equine Encephalitis fáírọ́ọ̀sì,"Fever, headache, weakness, confusion","Iba, orififo, ailera, iporuru"
St. Louis Encephalitis Virus,Louis Encephalitis fáírọ́ọ̀sì,"Fever, headache, nausea, vomiting","Iba, orififo, ríru, ìgbagbogbo"
Venezuelan Equine Encephalitis Virus,Venezuelan Equine Encephalitis fáírọ́ọ̀sì,"Fever, headache, muscle aches, nausea","Iba, orififo, irora iṣan, ríru"
Powassan Virus,Powassan fáírọ́ọ̀sì,"Fever, headache, vomiting, weakness","Iba, orififo, ìgbagbogbo, ailera"
La Crosse Encephalitis Virus,La Crosse Encephalitis fáírọ́ọ̀sì,"Fever, headache, nausea, fatigue","Iba, orififo, ríru, rirẹ"
Tick-Borne Encephalitis Virus,Tick-Bon Encephalitis Virus,"Fever, headache, muscle pain, confusion","Iba, orififo, irora iṣan, rudurudu"
Colorado Tick Fever Virus,Colorado ami iba fáírọ́ọ̀sì,"Fever, chills, headache, muscle pain","Iba, otutu, orififo, irora iṣan"
Kyasanur Forest Disease,Arun Igbo Kyasanur,"Fever, headache, muscle pain, bleeding","Iba, orififo, irora iṣan, ẹjẹ"
Japanese Encephalitis Virus,fáírọ́ọ̀sì Japanese Encephalitis,"Fever, headache, vomiting, confusion, seizures","Iba, orififo, ìgbagbogbo, iporuru, ijagba"
Tick-borne encephalitis (TBE),Tick-borne encephalitis (TBE),"Fever, headache, muscle pain, nausea, confusion","Iba, orififo, irora iṣan, ríru, iporuru"
Lymphocytic choriomeningitis virus,fáírọ́ọ̀sì Lymphocytic choriomeningitis,"Fever, malaise, lack of appetite, muscle aches, headache, nausea","Iba, ailera, aini aijẹ, irora iṣan, orififo, ríru"
Varicella-Zoster Virus (VZV),fáírọ́ọ̀sì Varicella-Zoster (VZV),"Chickenpox: itchy rash, fever; Shingles: painful rash","Chickenpox: yun oru sisu, iba; Shingles: oru sisu irora"
Hepatitis G,Hepatitis G,"Often asymptomatic, possible liver-related symptoms","Nigbagbogbo asymptomatic, awọn ami aisan ti o ni ibatan ẹdọ ṣee ṣe"
Simian Immunodeficiency Virus (SIV),fáírọ́ọ̀sì ajẹsara ajẹsara Simian (SIV),"Similar to HIV in primates, can cause immune suppression","Iru ami HIV ni primates, le fa ki ajesara bomole"
Severe Acute Respiratory Syndrome,Severe Acute Respiratory Syndrome,"Fever, dry cough, difficulty breathing, headache","Iba, Ikọaláìdúró gbígbẹ, iṣoro mimi, orififo"
Rift Valley Fever Virus,fáírọ́ọ̀sì Rift Valley,"Fever, weakness, back pain, dizziness","Iba, ailera, irora ẹhin, oyi"
Ross River Fever Virus,fáírọ́ọ̀sì Ross River,"Fever, joint pain, fatigue, rash","Iba, irora apapọ, rirẹ, Oru oru sisu"
Chikungunya Virus,fáírọ́ọ̀sì Chikungunya,"Fever, joint pain, headache, muscle pain, rash","Iba, irora apapọ, orififo, irora iṣan, oru sisu"
Mayaro Virus,fáírọ́ọ̀sì Mayaro,"Fever, joint pain, rash, headache","Iba, irora apapọ, oru oru sisu, orififo"
O’nyong-nyong Virus,fáírọ́ọ̀sì O’nyong-nyong,"Fever, joint pain, rash, muscle pain","Iba, irora apapọ, oru oru sisu, irora iṣan"
Sin Nombre Virus,fáírọ́ọ̀sì Ẹṣẹ Nombre,"Fever, muscle aches, shortness of breath, coughing","Iba, irora iṣan, mimi kuru, ikọ"
