English_Name,Oruko(Yoruba_Name),English_Symptoms,Awọn aami aisan(Symptoms)
Cryptococcus laurentii infection,Cryptococcus Laurentii ikolu,"Meningitis, skin lesions, respiratory infections","Meningitis, awọn egbo awọ ara, awọn akoran atẹgun"
Cryptococcus albidus infection,Cryptococcus albidus ikolu,"Meningitis, skin lesions, respiratory infections","Meningitis, awọn egbo awọ ara, awọn akoran atẹgun"
Scedosporium prolificans infection,Scedosporium prolificans ikolu,"Sinusitis, pneumonia, skin lesions, brain abscesses","Sinusitis, pneumonia, awọn egbo awọ ara, abscesses ọpọlọ"
Scedosporium apiospermum infection,Scedosporium apiospermum ikolu,"Sinusitis, pneumonia, skin lesions, brain abscesses","Sinusitis, pneumonia, awọn egbo awọ ara, abscesses ọpọlọ"
Microsporum canis infection,Microsporum canis ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Microsporum gypseum infection,Microsporum gypseum ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Trichophyton rubrum infection,Trichophyton rubrum ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Trichophyton mentagrophytes infection,Trichophyton mentagrophytes ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Trichophyton tonsurans infection,Trichophyton tonsurans ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Trichophyton verrucosum infection,Trichophyton verrucosum ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Epidermophyton floccosum infection,Epidermophyton floccosum ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Trichosporon asahii infection,Trichosporon asahii ikolu,"Skin lesions, bloodstream infections, pneumonia","Awọn egbo awọ ara, awọn akoran ẹjẹ, pneumonia"
Trichosporon mucoides infection,Trichosporon mucoides ikolu,"Skin lesions, bloodstream infections, pneumonia","Awọn egbo awọ ara, awọn akoran ẹjẹ, pneumonia"
Exophiala jeanselmei infection,Exophiala jeanselmei ikolu,"Skin lesions, subcutaneous nodules, brain abscesses","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ"
Exophiala dermatitidis infection,Exophiala dermatitis ikolu,"Skin lesions, subcutaneous nodules, brain abscesses","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ"
Fonsecaea pedrosoi infection,Fonsecaea pedrosoi ikolu,"Warty skin lesions, nodules, scaly patches, ulceration","Warty ara egbo, nodules, scaly abulẹ, ulceration"
Blastoschizomyces capitatus infection,Blastoschizomyces capitatus ikolu,"Fever, cough, chest pain, skin lesions, bloodstream infections","Iba, Ikọaláìdúró, irora àyà, awọn egbo awọ ara, awọn akoran ẹjẹ"
Curvularia brachyspora infection,Curvularia brachyspora ikolu,"Sinusitis, keratitis, skin lesions, brain abscesses","Sinusitis, keratitis, awọn egbo awọ ara, abscesses ọpọlọ"
Emergomyces pasteurianus infection,Emergomyces pasteurianus ikolu,"Fever, cough, fatigue, weight loss, skin lesions","Iba, Ikọaláìdúró, rirẹ, àdánù làìpẹ, awọn egbo ara"
Emergomyces orientalis infection,Emergomyces orientalis ikolu,"Fever, cough, fatigue, weight loss, skin lesions","Iba, Ikọaláìdúró, rirẹ, àdánù làìpẹ, awọn egbo ara"
Exophiala spinifera infection,Exophiala spinifera ikolu,"Skin lesions, subcutaneous nodules, brain abscesses","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ"
